Time,Date,Year,Away Team,Away Team 1st,Away Team 2nd,Away Team 3rd,Away Team 4th,Away Team OT,Home Team,Home Team 1st,Home Team 2nd,Home Team 3rd,Home Team 4th,Home Team OT
08:00 PM, October 22,2019,New Orleans Pelicans,30,31,25,31,5,Toronto Raptors,27,29,32,29,13
10:30 PM, October 22,2019,Los Angeles Lakers,25,29,31,17,0,LA Clippers,22,40,23,27,0
07:00 PM, October 23,2019,Chicago Bulls,28,27,40,30,0,Charlotte Hornets,37,26,33,30,0
07:00 PM, October 23,2019,Detroit Pistons,27,27,29,36,0,Indiana Pacers,24,31,31,24,0
07:00 PM, October 23,2019,Cleveland Cavaliers,24,17,24,20,0,Orlando Magic,28,27,16,23,0
07:30 PM, October 23,2019,Minnesota Timberwolves,33,35,20,27,12,Brooklyn Nets,22,34,37,22,11
07:30 PM, October 23,2019,Memphis Grizzlies,32,28,24,17,0,Miami Heat,24,30,29,37,0
07:30 PM, October 23,2019,Boston Celtics,25,23,20,25,0,Philadelphia 76ers,20,29,28,30,0
08:30 PM, October 23,2019,Washington Wizards,25,23,20,32,0,Dallas Mavericks,24,38,29,17,0
08:30 PM, October 23,2019,New York Knicks,15,36,33,27,0,San Antonio Spurs,22,37,24,37,0
09:00 PM, October 23,2019,Oklahoma City Thunder,12,34,28,21,0,Utah Jazz,23,26,19,32,0
10:00 PM, October 23,2019,Sacramento Kings,29,30,17,19,0,Phoenix Suns,25,29,32,38,0
10:00 PM, October 23,2019,Denver Nuggets,24,30,19,35,0,Portland Trail Blazers,27,23,24,26,0
07:00 PM, October 24,2019,Atlanta Hawks,38,22,31,26,0,Detroit Pistons,32,31,18,19,0
08:00 PM, October 24,2019,Milwaukee Bucks,23,27,28,39,0,Houston Rockets,30,36,21,24,0
10:30 PM, October 24,2019,LA Clippers,35,30,46,30,0,Golden State Warriors,29,25,33,35,0
07:00 PM, October 25,2019,Toronto Raptors,21,28,33,24,0,Boston Celtics,22,28,26,36,0
07:00 PM, October 25,2019,Minnesota Timberwolves,30,28,45,18,0,Charlotte Hornets,32,24,25,18,0
07:30 PM, October 25,2019,New York Knicks,23,28,32,26,0,Brooklyn Nets,32,32,30,19,0
08:00 PM, October 25,2019,Chicago Bulls,25,22,32,31,0,Memphis Grizzlies,29,31,21,21,0
08:00 PM, October 25,2019,Dallas Mavericks,27,45,23,28,0,New Orleans Pelicans,41,23,29,23,0
08:00 PM, October 25,2019,Washington Wizards,28,24,26,19,0,Oklahoma City Thunder,24,22,24,15,0
09:00 PM, October 25,2019,Phoenix Suns,21,24,17,33,12,Denver Nuggets,15,24,25,31,13
10:00 PM, October 25,2019,Portland Trail Blazers,25,32,37,28,0,Sacramento Kings,27,30,27,28,0
10:30 PM, October 25,2019,Utah Jazz,17,20,18,31,0,Los Angeles Lakers,24,19,31,21,0
05:00 PM, October 26,2019,Miami Heat,29,24,29,39,10,Milwaukee Bucks,33,37,23,28,5
07:00 PM, October 26,2019,Philadelphia 76ers,28,26,29,34,0,Detroit Pistons,29,28,26,28,0
07:30 PM, October 26,2019,Orlando Magic,26,24,25,24,0,Atlanta Hawks,23,29,25,26,0
07:30 PM, October 26,2019,Boston Celtics,22,24,36,36,0,New York Knicks,24,27,25,19,0
08:00 PM, October 26,2019,Indiana Pacers,28,20,26,25,0,Cleveland Cavaliers,26,39,25,20,0
08:00 PM, October 26,2019,Toronto Raptors,24,24,36,24,0,Chicago Bulls,23,17,22,22,0
08:00 PM, October 26,2019,New Orleans Pelicans,24,37,39,23,0,Houston Rockets,29,32,36,29,0
08:30 PM, October 26,2019,Washington Wizards,26,34,30,32,0,San Antonio Spurs,30,30,32,32,0
09:00 PM, October 26,2019,Sacramento Kings,25,16,17,23,0,Utah Jazz,35,31,27,20,0
10:00 PM, October 26,2019,LA Clippers,22,33,30,37,0,Phoenix Suns,26,29,36,39,0
03:30 PM, October 27,2019,Golden State Warriors,20,17,31,24,0,Oklahoma City Thunder,35,35,35,15,0
06:00 PM, October 27,2019,Brooklyn Nets,29,28,40,23,13,Memphis Grizzlies,35,24,33,28,14
07:00 PM, October 27,2019,Portland Trail Blazers,25,34,36,26,0,Dallas Mavericks,40,31,24,24,0
07:00 PM, October 27,2019,Miami Heat,23,34,27,25,0,Minnesota Timberwolves,36,19,22,39,0
09:30 PM, October 27,2019,Charlotte Hornets,28,34,18,21,0,Los Angeles Lakers,30,33,24,33,0
07:00 PM, October 28,2019,Indiana Pacers,25,28,18,23,0,Detroit Pistons,33,26,19,18,0
07:00 PM, October 28,2019,Chicago Bulls,33,19,28,18,0,New York Knicks,15,27,30,33,0
07:30 PM, October 28,2019,Philadelphia 76ers,31,32,19,23,0,Atlanta Hawks,40,25,18,20,0
07:30 PM, October 28,2019,Orlando Magic,22,24,21,28,0,Toronto Raptors,31,20,27,26,0
08:00 PM, October 28,2019,Oklahoma City Thunder,35,27,18,32,0,Houston Rockets,22,30,39,25,0
08:00 PM, October 28,2019,Cleveland Cavaliers,31,21,28,32,0,Milwaukee Bucks,30,29,32,38,0
08:00 PM, October 28,2019,Golden State Warriors,27,45,31,31,0,New Orleans Pelicans,23,32,24,44,0
08:30 PM, October 28,2019,Portland Trail Blazers,33,18,20,39,0,San Antonio Spurs,19,26,37,31,0
10:00 PM, October 28,2019,Utah Jazz,28,18,24,26,0,Phoenix Suns,21,18,31,25,0
10:00 PM, October 28,2019,Denver Nuggets,21,26,30,24,0,Sacramento Kings,28,25,17,24,0
10:30 PM, October 28,2019,Charlotte Hornets,28,26,20,22,0,LA Clippers,29,28,29,25,0
07:30 PM, October 29,2019,Atlanta Hawks,26,23,21,27,0,Miami Heat,29,30,29,24,0
09:00 PM, October 29,2019,Dallas Mavericks,27,33,23,26,0,Denver Nuggets,31,30,27,18,0
10:30 PM, October 29,2019,Memphis Grizzlies,32,15,20,24,0,Los Angeles Lakers,27,22,39,32,0
07:00 PM, October 30,2019,Chicago Bulls,26,27,29,29,0,Cleveland Cavaliers,25,25,30,37,0
07:00 PM, October 30,2019,New York Knicks,25,19,23,16,0,Orlando Magic,22,20,30,23,0
07:00 PM, October 30,2019,Minnesota Timberwolves,24,19,35,17,0,Philadelphia 76ers,32,30,30,25,0
07:30 PM, October 30,2019,Milwaukee Bucks,34,24,18,29,0,Boston Celtics,19,23,38,36,0
07:30 PM, October 30,2019,Indiana Pacers,31,29,30,28,0,Brooklyn Nets,31,32,20,25,0
07:30 PM, October 30,2019,Detroit Pistons,28,30,27,28,0,Toronto Raptors,37,27,37,24,0
08:00 PM, October 30,2019,Houston Rockets,35,41,35,48,0,Washington Wizards,34,43,40,41,0
08:00 PM, October 30,2019,Portland Trail Blazers,24,25,19,34,0,Oklahoma City Thunder,17,27,25,30,0
10:00 PM, October 30,2019,LA Clippers,23,28,20,25,0,Utah Jazz,33,19,38,20,0
10:00 PM, October 30,2019,Charlotte Hornets,30,31,32,25,0,Sacramento Kings,33,33,18,27,0
10:30 PM, October 30,2019,Phoenix Suns,43,29,23,26,0,Golden State Warriors,14,32,21,43,0
07:00 PM, October 31,2019,Miami Heat,30,22,33,21,0,Atlanta Hawks,26,20,29,22,0
09:30 PM, October 31,2019,Denver Nuggets,30,22,23,32,0,New Orleans Pelicans,32,24,30,36,0
10:30 PM, October 31,2019,San Antonio Spurs,24,24,27,22,0,LA Clippers,23,27,30,23,0
07:00 PM, November 1,2019,Houston Rockets,33,26,24,33,0,Brooklyn Nets,24,37,34,28,0
07:00 PM, November 1,2019,Cleveland Cavaliers,26,11,24,34,0,Indiana Pacers,19,23,26,34,0
07:00 PM, November 1,2019,Milwaukee Bucks,31,31,26,35,0,Orlando Magic,27,14,30,20,0
07:30 PM, November 1,2019,New York Knicks,23,27,24,28,0,Boston Celtics,22,27,26,29,0
08:00 PM, November 1,2019,Detroit Pistons,23,29,28,26,0,Chicago Bulls,30,27,29,26,0
09:30 PM, November 1,2019,Los Angeles Lakers,20,28,28,27,16,Dallas Mavericks,25,33,27,18,7
10:00 PM, November 1,2019,Utah Jazz,18,30,32,21,0,Sacramento Kings,28,23,30,21,0
10:30 PM, November 1,2019,San Antonio Spurs,29,28,40,30,0,Golden State Warriors,28,27,31,24,0
05:00 PM, November 2,2019,New Orleans Pelicans,26,34,26,18,0,Oklahoma City Thunder,33,32,29,21,0
07:00 PM, November 2,2019,Brooklyn Nets,26,28,18,37,0,Detroit Pistons,33,13,32,35,0
07:00 PM, November 2,2019,Denver Nuggets,17,23,29,22,0,Orlando Magic,26,19,18,24,0
08:00 PM, November 2,2019,Minnesota Timberwolves,42,28,36,25,0,Washington Wizards,34,22,16,37,0
08:00 PM, November 2,2019,Phoenix Suns,31,14,37,32,0,Memphis Grizzlies,24,23,22,36,0
08:00 PM, November 2,2019,Toronto Raptors,17,33,40,15,0,Milwaukee Bucks,36,30,29,20,0
08:30 PM, November 2,2019,Charlotte Hornets,25,25,18,25,0,Golden State Warriors,30,25,16,16,0
10:00 PM, November 2,2019,Philadelphia 76ers,27,30,35,37,0,Portland Trail Blazers,32,36,34,26,0
05:00 PM, November 3,2019,Chicago Bulls,18,24,32,21,0,Indiana Pacers,24,31,31,22,0
06:00 PM, November 3,2019,Houston Rockets,14,32,25,29,0,Miami Heat,46,25,28,30,0
